miRNA,Cancer,Infectious diseases,Autoimmune diseases,Inflammatory diseases,cluster_3,cluster_4,cluster_5,dendrogram_order,number_of_categories
hsa-miR-548m,1,1,1,0,1,1,1,1,3
hsa-miR-548k,1,0,1,0,1,1,1,2,2
hsa-miR-548o-3p,1,0,1,0,1,1,1,3,2
hsa-miR-548z,1,0,0,0,1,2,2,4,1
hsa-miR-548y,1,0,0,0,1,2,2,5,1
hsa-miR-548v,1,0,0,0,1,2,2,6,1
hsa-miR-548t-5p,1,0,0,0,1,2,2,7,1
hsa-miR-548t-3p,1,0,0,0,1,2,2,8,1
hsa-miR-548s-3p,1,0,0,0,1,2,2,9,1
hsa-miR-548s,1,0,0,0,1,2,2,10,1
hsa-miR-548q,1,0,0,0,1,2,2,11,1
hsa-miR-548p,1,0,0,0,1,2,2,12,1
hsa-miR-548n,1,0,0,0,1,2,2,13,1
hsa-miR-548l-5p,1,0,0,0,1,2,2,14,1
hsa-miR-548l,1,0,0,0,1,2,2,15,1
hsa-miR-548j-3p,1,0,0,0,1,2,2,16,1
hsa-miR-548h,1,0,0,0,1,2,2,17,1
hsa-miR-548g-5p,1,0,0,0,1,2,2,18,1
hsa-miR-548f-5p,1,0,0,0,1,2,2,19,1
hsa-miR-548c-3p,1,0,0,0,1,2,2,20,1
hsa-miR-548bb-3p,1,0,0,0,1,2,2,21,1
hsa-miR-548as-3p,1,0,0,0,1,2,2,22,1
hsa-miR-548ar-5p,1,0,0,0,1,2,2,23,1
hsa-miR-548aq-5p,1,0,0,0,1,2,2,24,1
hsa-miR-548ao-3p,1,0,0,0,1,2,2,25,1
hsa-miR-548am-5p,1,0,0,0,1,2,2,26,1
hsa-miR-548ah-3p,1,0,0,0,1,2,2,27,1
hsa-miR-548ag,1,0,0,0,1,2,2,28,1
hsa-miR-548a-5p,1,0,0,0,1,2,2,29,1
hsa-miR-548ac,1,0,0,0,1,2,2,30,1
hsa-miR-548j-5p,1,1,0,0,1,2,3,31,2
hsa-miR-548g-3p,1,1,0,0,1,2,3,32,2
hsa-miR-548f-3p,1,1,0,0,1,2,3,33,2
hsa-miR-548d-3p,1,1,0,0,1,2,3,34,2
hsa-miR-548c-5p,1,1,0,0,1,2,3,35,2
hsa-miR-548b-5p,1,1,0,0,1,2,3,36,2
hsa-miR-548ah-5p,1,1,0,0,1,2,3,37,2
hsa-miR-548an,1,1,0,0,1,2,3,38,2
hsa-miR-548a-3p,1,0,0,1,1,2,3,39,2
hsa-miR-548ai,1,0,0,1,1,2,3,40,2
hsa-miR-548i,1,1,0,1,1,2,3,41,3
hsa-miR-548e-3p,1,1,0,1,1,2,3,42,3
hsa-miR-548b-3p,1,1,0,1,1,2,3,43,3
hsa-miR-548d-5p,1,1,0,1,1,2,3,44,3
hsa-miR-548x-5p,0,0,0,1,2,3,4,45,1
hsa-miR-548at-5p,0,0,0,1,2,3,4,46,1
hsa-miR-548aa,0,0,0,1,2,3,4,47,1
hsa-miR-548ad-5p,0,0,0,1,2,3,4,48,1
hsa-miR-548ac-3p,0,0,1,0,3,4,5,49,1
hsa-miR-548e-5p,0,0,1,1,3,4,5,50,2
