miRNA,Cancer,Infectious diseases,Autoimmune diseases,Inflammatory diseases,Dim1,Dim2,embedding_method,random_state
hsa-miR-548a-3p,1,0,0,1,0.12230082180784688,0.29293254821001485,MDS_fallback,42
hsa-miR-548a-5p,1,0,0,0,0.0773625619956304,-0.22096881276205643,MDS_fallback,42
hsa-miR-548aa,0,0,0,1,0.14593707917552312,0.8017514196056705,MDS_fallback,42
hsa-miR-548ac,1,0,0,0,0.0773625619956304,-0.22096881276205643,MDS_fallback,42
hsa-miR-548ac-3p,0,0,1,0,0.8040209475788852,0.33374700784717454,MDS_fallback,42
hsa-miR-548ad-5p,0,0,0,1,0.14627549185515296,0.8016797952575512,MDS_fallback,42
hsa-miR-548ag,1,0,0,0,0.0773625619956304,-0.22096881276205643,MDS_fallback,42
hsa-miR-548ah-3p,1,0,0,0,0.0773625619956304,-0.22096881276205643,MDS_fallback,42
hsa-miR-548ah-5p,1,1,0,0,-0.3573063739111112,0.014752062108988719,MDS_fallback,42
hsa-miR-548ai,1,0,0,1,0.1223008507282394,0.2929325391540501,MDS_fallback,42
hsa-miR-548am-5p,1,0,0,0,0.0773625619956304,-0.22096881276205643,MDS_fallback,42
hsa-miR-548an,1,1,0,0,-0.35730637391115444,0.01475206210890033,MDS_fallback,42
hsa-miR-548ao-3p,1,0,0,0,0.0773625619956304,-0.22096881276205643,MDS_fallback,42
hsa-miR-548aq-5p,1,0,0,0,0.0773625619956304,-0.22096881276205643,MDS_fallback,42
hsa-miR-548ar-5p,1,0,0,0,0.0773625619956304,-0.22096881276205643,MDS_fallback,42
hsa-miR-548as-3p,1,0,0,0,0.0773625619956304,-0.22096881276205643,MDS_fallback,42
hsa-miR-548at-5p,0,0,0,1,0.14627955449761548,0.8016789345389433,MDS_fallback,42
hsa-miR-548b-3p,1,1,0,1,-0.25287881964177056,0.3469719699406814,MDS_fallback,42
hsa-miR-548b-5p,1,1,0,0,-0.3573063739112255,0.014752062108754961,MDS_fallback,42
hsa-miR-548bb-3p,1,0,0,0,0.0773625619956304,-0.22096881276205643,MDS_fallback,42
hsa-miR-548c-3p,1,0,0,0,0.0773625619956304,-0.22096881276205643,MDS_fallback,42
hsa-miR-548c-5p,1,1,0,0,-0.3573063739111117,0.014752062108987914,MDS_fallback,42
hsa-miR-548d-3p,1,1,0,0,-0.35730637391109915,0.014752062109013449,MDS_fallback,42
hsa-miR-548d-5p,1,1,0,1,-0.2528788324559804,0.34697196538561625,MDS_fallback,42
hsa-miR-548e-3p,1,1,0,1,-0.2528788084320131,0.34697197392541174,MDS_fallback,42
hsa-miR-548e-5p,0,0,1,1,0.4738841128704609,0.6542766203778903,MDS_fallback,42
hsa-miR-548f-3p,1,1,0,0,-0.35730637391083825,0.014752062109546665,MDS_fallback,42
hsa-miR-548f-5p,1,0,0,0,0.0773625619956304,-0.22096881276205643,MDS_fallback,42
hsa-miR-548g-3p,1,1,0,0,-0.3573063739111719,0.01475206210886471,MDS_fallback,42
hsa-miR-548g-5p,1,0,0,0,0.0773625619956304,-0.22096881276205643,MDS_fallback,42
hsa-miR-548h,1,0,0,0,0.0773625619956304,-0.22096881276205643,MDS_fallback,42
hsa-miR-548i,1,1,0,1,-0.25287881665773304,0.346971971001417,MDS_fallback,42
hsa-miR-548j-3p,1,0,0,0,0.0773625619956304,-0.22096881276205643,MDS_fallback,42
hsa-miR-548j-5p,1,1,0,0,-0.35730637391110376,0.014752062109003759,MDS_fallback,42
hsa-miR-548k,1,0,1,0,0.43658198146400096,-0.00597524403977379,MDS_fallback,42
hsa-miR-548l,1,0,0,0,0.0773625619956304,-0.22096881276205643,MDS_fallback,42
hsa-miR-548l-5p,1,0,0,0,0.0773625619956304,-0.22096881276205643,MDS_fallback,42
hsa-miR-548m,1,1,1,0,-0.5052074077262085,0.11318341776241914,MDS_fallback,42
hsa-miR-548n,1,0,0,0,0.0773625619956304,-0.22096881276205643,MDS_fallback,42
hsa-miR-548o-3p,1,0,1,0,-0.25790231043467915,-0.42754194943860996,MDS_fallback,42
hsa-miR-548p,1,0,0,0,0.0773625619956304,-0.22096881276205643,MDS_fallback,42
hsa-miR-548q,1,0,0,0,0.0773625619956304,-0.22096881276205643,MDS_fallback,42
hsa-miR-548s,1,0,0,0,0.0773625619956304,-0.22096881276205643,MDS_fallback,42
hsa-miR-548s-3p,1,0,0,0,0.0773625619956304,-0.22096881276205643,MDS_fallback,42
hsa-miR-548t-3p,1,0,0,0,0.0773625619956304,-0.22096881276205643,MDS_fallback,42
hsa-miR-548t-5p,1,0,0,0,0.0773625619956304,-0.22096881276205643,MDS_fallback,42
hsa-miR-548v,1,0,0,0,0.0773625619956304,-0.22096881276205643,MDS_fallback,42
hsa-miR-548x-5p,0,0,0,1,0.14670597277745503,0.8015884781750063,MDS_fallback,42
hsa-miR-548y,1,0,0,0,0.0773625619956304,-0.22096881276205643,MDS_fallback,42
hsa-miR-548z,1,0,0,0,0.0773625619956304,-0.22096881276205643,MDS_fallback,42
